3460.00000,3460.00000,3460.00000,3460.00000,3460.00000,3460.00000,3460.00000,3460.00000,3460.00000,3460.00000
3462.41379,3462.41379,3462.41379,3462.41379,3462.41379,3462.41379,3462.41379,3462.41379,3462.41379,3462.41379
3464.82759,3464.82759,3464.82759,3464.82759,3464.82759,3464.82759,3464.82759,3464.82759,3464.82759,3464.82759
3467.24138,3467.24138,3467.24138,3467.24138,3467.24138,3467.24138,3467.24138,3467.24138,3467.24138,3467.24138
3469.65517,3469.65517,3469.65517,3469.65517,3469.65517,3469.65517,3469.65517,3469.65517,3469.65517,3469.65517
3472.06897,3472.06897,3472.06897,3472.06897,3472.06897,3472.06897,3472.06897,3472.06897,3472.06897,3472.06897
3474.48276,3474.48276,3474.48276,3474.48276,3474.48276,3474.48276,3474.48276,3474.48276,3474.48276,3474.48276
3476.89655,3476.89655,3476.89655,3476.89655,3476.89655,3476.89655,3476.89655,3476.89655,3476.89655,3476.89655
3479.31034,3479.31034,3479.31034,3479.31034,3479.31034,3479.31034,3479.31034,3479.31034,3479.31034,3479.31034
3481.72414,3481.72414,3481.72414,3481.72414,3481.72414,3481.72414,3481.72414,3481.72414,3481.72414,3481.72414
3180.00000,3180.00000,3180.00000,3180.00000,3180.00000,3180.00000,3180.00000,3180.00000,3180.00000,3180.00000
3184.44444,3184.44444,3184.44444,3184.44444,3184.44444,3184.44444,3184.44444,3184.44444,3184.44444,3486.55172
3188.88889,3188.88889,3188.88889,3188.88889,3188.88889,3188.88889,3188.88889,3188.88889,3488.96552,3488.96552
3193.33333,3193.33333,3193.33333,3193.33333,3193.33333,3193.33333,3193.33333,3491.37931,3491.37931,3491.37931
3197.77778,3197.77778,3197.77778,3197.77778,3197.77778,3197.77778,3493.79310,3493.79310,3493.79310,3493.79310
3202.22222,3202.22222,3202.22222,3202.22222,3202.22222,3496.20690,3496.20690,3496.20690,3496.20690,3496.20690
3206.66667,3206.66667,3206.66667,3206.66667,3498.62069,3498.62069,3498.62069,3498.62069,3498.62069,3498.62069
3211.11111,3211.11111,3211.11111,3501.03448,3501.03448,3501.03448,3501.03448,3501.03448,3501.03448,3501.03448
3215.55556,3215.55556,3503.44828,3503.44828,3503.44828,3503.44828,3503.44828,3503.44828,3503.44828,3503.44828
3220.00000,3505.86207,3505.86207,3505.86207,3505.86207,3505.86207,3505.86207,3505.86207,3505.86207,3505.86207
3508.27586,3508.27586,3508.27586,3508.27586,3508.27586,3508.27586,3508.27586,3508.27586,3508.27586,3508.27586
3510.68966,3510.68966,3510.68966,3510.68966,3510.68966,3510.68966,3510.68966,3510.68966,3510.68966,3510.68966
3513.10345,3513.10345,3513.10345,3513.10345,3513.10345,3513.10345,3513.10345,3513.10345,3513.10345,3513.10345
3515.51724,3515.51724,3515.51724,3515.51724,3515.51724,3515.51724,3515.51724,3515.51724,3515.51724,3515.51724
3517.93103,3517.93103,3517.93103,3517.93103,3517.93103,3517.93103,3517.93103,3517.93103,3517.93103,3517.93103
3520.34483,3520.34483,3520.34483,3520.34483,3520.34483,3520.34483,3520.34483,3520.34483,3520.34483,3520.34483
3522.75862,3522.75862,3522.75862,3522.75862,3522.75862,3522.75862,3522.75862,3522.75862,3522.75862,3522.75862
3525.17241,3525.17241,3525.17241,3525.17241,3525.17241,3525.17241,3525.17241,3525.17241,3525.17241,3525.17241
3527.58621,3527.58621,3527.58621,3527.58621,3527.58621,3527.58621,3527.58621,3527.58621,3527.58621,3527.58621
3530.00000,3530.00000,3530.00000,3530.00000,3530.00000,3530.00000,3530.00000,3530.00000,3530.00000,3530.00000
